nazov,date,daily_pocet_do,daily_pocet_z,daily_total,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2025-10-21,441,54,495,48.110442,17.127512,Centrum,Petržalka,1,0,10,2025
#1 - Starý Most,2025-10-23,397,49,446,48.110442,17.127512,Centrum,Petržalka,3,0,10,2025
#1 - Starý Most,2025-10-24,187,36,223,48.110442,17.127512,Centrum,Petržalka,4,0,10,2025
#1 - Starý Most,2025-10-25,332,29,361,48.110442,17.127512,Centrum,Petržalka,5,1,10,2025
#1 - Starý Most,2025-10-28,273,46,319,48.110442,17.127512,Centrum,Petržalka,1,0,10,2025
#1 - Starý Most,2025-10-29,388,56,444,48.110442,17.127512,Centrum,Petržalka,2,0,10,2025
#1 - Starý Most,2025-10-30,411,45,456,48.110442,17.127512,Centrum,Petržalka,3,0,10,2025
#1 - Starý Most,2025-10-31,318,40,358,48.110442,17.127512,Centrum,Petržalka,4,0,10,2025
#1 - Starý Most,2025-11-01,353,31,384,48.110442,17.127512,Centrum,Petržalka,5,1,11,2025
#1 - Starý Most,2025-11-02,345,31,376,48.110442,17.127512,Centrum,Petržalka,6,1,11,2025
#1 - Starý Most,2025-11-03,116,22,138,48.110442,17.127512,Centrum,Petržalka,0,0,11,2025
#1 - Starý Most,2025-11-04,404,52,456,48.110442,17.127512,Centrum,Petržalka,1,0,11,2025
#1 - Starý Most,2025-11-05,408,58,466,48.110442,17.127512,Centrum,Petržalka,2,0,11,2025
